star,a,b,sigma_x2,sigma_y2,x,y
GSC06892-00068,34.39721660455965,505.27945481527286,14.398825182449285,19.974548824173613,2777.9,2294.9
GSC06326-01431,25.925557622376157,505.8851241590086,21.921111463062445,32.78728315194437,3623.4,1599.0
GSC06892-00446,31.417230820589673,498.8054737056254,16.997518341399594,21.22115209273123,2762.0,4035.3
GSC06892-00139,31.22621217140153,505.1159566736054,13.893651352553066,18.095978403756686,2786.6,2500.5
GSC06326-01559,27.695288001329896,506.17551477828465,16.698122993158446,26.46149828334981,3076.2,1897.5
N/A,20.209213128568237,499.7716365525021,18.498910074147062,28.27022085034153,196.03,1290.7
GSC06326-01328,22.2742675842519,505.7039387821046,16.003470101478324,36.20994909302223,2717.3,1266.4
GSC06326-01541,22.925299262331777,500.6755353095366,17.904009358670734,30.12601852960468,1044.7,1543.7
GSC06326-01280,19.94003183359055,504.64294953819757,17.335589936433916,47.637499823288174,2724.5,997.55
GSC06892-00349,25.31687389562264,504.8492300474448,14.663879669603872,20.787436346221913,2611.1,2020.9
N/A,25.869095975655558,501.3754127431578,19.753761384302056,21.40576581577211,3977.4,3833.7
GSC06892-00329,22.221070742425532,501.272705661144,14.659356385392753,20.897526532706866,1385.3,1919.2
N/A,20.274199783232103,492.9988681338857,23.551767436250888,23.758715857194257,87.197,3685.4
N/A,18.66462335841465,503.81261828609524,25.76492848076464,23.882453733235767,4703.4,3486.6
GSC06892-00006,21.402733447880866,497.61434661505047,17.665472470025996,20.902938914724974,598.31,2419.8
N/A,25.822231650927232,497.35834254108926,14.722317714529591,18.65790556035741,2140.6,3810.2
GSC06892-00583,26.46006044259937,501.1359252307418,15.200750442443667,17.418772452913274,2209.1,2695.4
GSC06326-01491,18.250564335912518,504.28893797467646,15.406634493903573,32.37666727855793,2414.2,1376.8
GSC06892-00891,24.006784299618968,500.23183663777485,15.78509462963331,18.87495303515429,3476.6,3974.1
N/A,19.703179332874956,506.5992801099888,15.100981859960617,23.966691655231994,3240.4,1866.4
N/A,21.857331660915357,499.6941939497315,14.619061478647504,19.441347111032453,1133.4,2276.8
GSC06892-00360,24.64641299285559,499.57560768774874,14.644129915342429,18.569212622256053,2605.2,3419.2
GSC06892-00859,23.51024478313618,502.99445144520644,12.950850971559687,16.865486784506533,2322.2,2427.1
